Body,Affiliation 1,Activity 1,Affiliation 2,Activity 2,Affiliation 3,Activity 3,Affiliation 4,Activity 4,Affiliation 5,Activity 5,Affiliation 6,Activity 6,Affiliation 7,Activity 7,Affiliation 8,Activity 8,Affiliation 9,Activity 9,Affiliation 10,Activity 10,Affiliation 11,Activity 11,Affiliation 12,Activity 12,Affiliation 13,Activity 13,Affiliation 14,Activity 14,Affiliation 15,Activity 15,Affiliation 16,Activity 16,Affiliation 17,Activity 17,Affiliation 18,Activity 18,Affiliation 19,Activity 19,Affiliation 20,Activity 20,,,,
Institut Pasteur,,,,,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,,,EVAg,Information Sharing,,,Zika Task Force,Epidemiology,,,,
Minsitry of Foreign Affairs of Denmark,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Health, Labour and Welfare of Japan",,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Agency for Development Cooperation,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oswaldo Cruz Foundation,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockefeller Foundation Regional Office for Africa,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swedish International Development Cooperation Agency,,,,,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Agency for Development and Cooperation Federal Department of Foreign Affairs,,,,,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Commonwealth Universities,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Organisation for Scientific Research,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBS Optimus Foundation,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Collaborative on Development Sciences,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Deparment for International Development,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Agency for International Development,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane University,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broad Institute of Harvard,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenema Government Hospital,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrua Specialist Teaching Hopsital of Nigeria,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMLab,Laboratory Methods,,,,,,
Autoimmune Technologies,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corgenix,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scripps Research Institute,,,,,,,VHF Consortium,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
